elapsed_S,supply_V,current_A,BMF_resistance
4.396016856000642292e+00,4.729838867187499574e+00,9.439697265624999445e-02,5.010583214793741291e+01
4.429927253000641940e+00,4.730612792968750036e+00,9.540624999999999800e-02,4.958388777432034544e+01
4.463680266000665142e+00,4.728344726562499822e+00,9.170996093750000133e-02,5.155759176241334529e+01
4.497264820000054897e+00,4.733071289062499964e+00,9.449218750000000500e-02,5.008955146754857424e+01
4.531261679000635922e+00,4.729721679687499680e+00,9.160107421874999489e-02,5.163391062852147684e+01
4.565269240000816353e+00,4.730327148437499574e+00,9.158398437499999656e-02,5.165015674649719557e+01
4.599279061000743241e+00,4.730300292968750320e+00,9.469189453125000100e-02,4.995464835068504783e+01
4.633049740000387828e+00,4.728605957031249751e+00,9.405712890624999545e-02,5.027376459411615173e+01
4.666827048000413924e+00,4.728327636718749893e+00,9.189062500000000355e-02,5.145603957660261329e+01
4.700482989000192902e+00,4.730280761718749893e+00,9.397412109375000155e-02,5.033599364020388833e+01
4.734127301000626176e+00,4.731032714843750320e+00,9.357666015625000500e-02,5.055782827623992404e+01
4.768061161000332504e+00,4.728679199218749574e+00,9.300781249999999500e-02,5.084174191516169827e+01
4.801879394000025059e+00,4.730996093749999964e+00,9.154785156250000444e-02,5.167784948530587741e+01
4.835859049000646337e+00,4.730219726562499893e+00,9.424023437499999545e-02,5.019320843091335149e+01
4.869714633000512549e+00,4.729990234375000213e+00,9.683398437500000122e-02,4.884638657496117276e+01
4.903615883000384201e+00,4.731486816406249574e+00,9.577246093749999800e-02,4.940341691223704856e+01
4.937597908000498137e+00,4.729143066406249929e+00,9.402441406250000577e-02,5.029696928781378773e+01
4.971649413000704953e+00,4.728774414062500320e+00,9.461523437499999578e-02,4.997899593336499180e+01
5.005535923000024923e+00,4.756479492187500213e+00,9.488085937500000122e-02,5.013107515593157615e+01
5.040151987000172085e+00,4.749731445312500355e+00,9.829492187499999645e-02,4.832122916128520274e+01
5.074385283000083291e+00,4.753952636718749680e+00,9.522021484374999789e-02,4.992587597622698325e+01
5.108762113000011595e+00,4.734165039062499858e+00,9.410253906250000411e-02,5.030857919697803027e+01
5.143061019000015222e+00,4.728559570312500071e+00,9.498974609374999378e-02,4.977968427924478334e+01
5.176911216000007698e+00,4.756994628906250355e+00,9.591748046874999656e-02,4.959465788361782046e+01
5.213326031000178773e+00,4.730939941406250071e+00,9.132958984375000311e-02,5.180073565971461136e+01
5.247027398000682297e+00,4.731201171875000000e+00,9.349121093749999944e-02,5.060583903483574630e+01
5.280772468000577646e+00,4.728803710937500071e+00,9.453417968749999734e-02,5.002215840418168824e+01
5.314367745000708965e+00,4.732597656250000284e+00,9.584130859374999367e-02,4.937951834850700550e+01
5.348131758000818081e+00,4.734631347656249822e+00,9.632031250000000488e-02,4.915506630708086533e+01
5.382099396000739944e+00,4.729152832031250142e+00,9.296533203125000033e-02,5.087006875252766491e+01
5.415885909000280662e+00,4.733410644531249822e+00,9.432763671874999645e-02,5.018052830735624070e+01
5.449603331000616890e+00,4.728681640625000071e+00,9.454882812499999789e-02,5.001311739552562585e+01
5.483266329000798578e+00,4.729916992187500391e+00,9.468554687499999845e-02,4.995394913261412739e+01
5.517140692000793933e+00,4.731945800781249822e+00,9.390332031249999656e-02,5.039167715298938077e+01
5.551060849000350572e+00,4.728476562500000036e+00,9.566113281249999378e-02,4.942944353134539170e+01
5.584814714999993157e+00,4.731647949218750426e+00,9.252636718749999989e-02,5.113837377436752973e+01
5.618566840000312368e+00,4.732836914062500178e+00,9.432226562499999856e-02,5.017730312881784727e+01
5.652334576000612287e+00,4.729147949218750036e+00,9.394921874999999367e-02,5.033727807575569102e+01
5.686066535000463773e+00,4.729885253906250142e+00,9.485351562499999556e-02,4.986515494697827933e+01
5.719843288000447501e+00,4.732158203124999574e+00,9.133691406249999645e-02,5.180991991788642537e+01
5.753493748999972013e+00,4.730839843750000107e+00,9.598583984375000377e-02,4.928685159655914561e+01
5.787356649000685138e+00,4.728730468750000249e+00,9.491992187499999345e-02,4.981810325315336030e+01
5.821127996000541316e+00,4.732163085937499680e+00,9.443652343750000289e-02,5.010945885856694559e+01
5.854975100000046950e+00,4.727917480468749822e+00,9.258593750000000677e-02,5.106517909881021922e+01
5.888716096000280231e+00,4.730754394531249574e+00,9.459082031250000411e-02,5.001282766025541093e+01
5.922458349999942584e+00,4.731149902343750213e+00,9.580664062499999467e-02,4.938227529406968586e+01
5.956211383000663773e+00,4.729709472656249858e+00,9.249707031249999878e-02,5.113361381800521599e+01
5.990058154000507784e+00,4.731857910156249680e+00,9.207324218750000122e-02,5.139232417296861399e+01
6.023952997000378673e+00,4.732670898437500107e+00,9.456982421875000100e-02,5.004419684116501799e+01
6.058008281000184070e+00,4.729125976562500000e+00,9.770947265625000433e-02,4.839987206972200084e+01
6.092018751000068733e+00,4.731096191406249929e+00,9.379052734374999922e-02,5.044321985808218045e+01
6.126027462000820378e+00,4.733188476562499858e+00,9.733984375000000189e-02,4.862539628396002911e+01
6.160402534000240848e+00,4.738425292968750036e+00,9.391455078124999467e-02,5.045464471214587121e+01
6.195515477000299143e+00,4.729772949218750355e+00,9.650585937500000266e-02,4.901021533666592944e+01
6.229905216000588553e+00,4.730905761718750213e+00,9.403759765624999933e-02,5.030866248851180700e+01
6.263617806000183919e+00,4.732333984374999858e+00,9.251855468750000422e-02,5.115010713644855400e+01
6.297358525000163354e+00,4.728015136718750178e+00,9.356933593749999778e-02,5.052953608516412487e+01
6.330958507000104873e+00,4.731486816406249574e+00,9.384765624999999445e-02,5.041667533818938551e+01
6.364700041000105557e+00,4.731411132812500142e+00,9.406982421875000056e-02,5.029679997923749823e+01
6.398479037000470271e+00,4.728718261718750426e+00,9.559667968750000522e-02,4.946529813772461637e+01
6.432130777000566013e+00,4.733393554687499893e+00,9.363525390624999334e-02,5.055140406226371397e+01
